assembly_accession,organism_name,infraspecific_name,new_genus,new_species,new_strain,label
GCA_009846115.1,Synechococcus sp. SB0669_bin_8,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009845825.1,Synechococcus sp. SB0670_bin_20,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009845105.1,Synechococcus sp. SB0672_bin_10,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009844725.1,Synechococcus sp. SB0672_bin_6,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009844645.1,Synechococcus sp. SB0673_bin_10,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009843485.1,Synechococcus sp. SB0675_bin_6,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009843455.1,Synechococcus sp. SB0675_bin_7,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009843385.1,Synechococcus sp. SB0676_bin_10,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009842265.1,Synechococcus sp. SB0677_bin_5,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_009842105.1,Synechococcus sp. SB0678_bin_12,,Synechococcus_B,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_B_s_
GCA_012103655.1,Synechococcus sp. s2_metabat2_7,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_Synechococcus_C sp000230675,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_Synechococcus_C sp000230675
GCA_011523835.1,Synechococcus sp. CO36386bin_29,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_011525445.1,Synechococcus sp. CO36386bin_37,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_011523295.1,Synechococcus sp. CO36406bin_26,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_011523155.1,Synechococcus sp. PL34863bin_39,,Synechococcus_C,Cyanobacteriia,o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
